number_wins,number_losses,number_pushes,number_blackjack,house_advantage_%,end_tokens,max_tokens,min_tokens,average_tokens,total_profit,total_bets,average_return_per_hand,end_tokens_without_card_counting,min_tokens_without_card_counting
458,497,74,32,3.7864077669902914,10450.0,15350.0,7800.0,12664.174757281553,450.0,145400.0,0.003094910591471802,7700.0,7450.0
453,470,101,32,1.6585365853658538,13500.0,15050.0,9225.0,11849.780487804877,3500.0,145200.0,0.024104683195592287,9900.0,8250.0
467,471,90,35,0.3887269193391642,12650.0,15550.0,9700,12033.430515063168,2650.0,144500.0,0.01833910034602076,11350.0,8000.0
426,496,101,25,6.8359375,2525.0,10400,1075.0,5595.849609375,-7475.0,144450.0,-0.051748009691934924,4250.0,3450.0
469,463,89,42,-0.5870841487279843,16825.0,17075.0,9750.0,13569.422700587083,6825.0,142350.0,0.04794520547945205,12700.0,9500.0
423,514,86,32,8.88671875,1475.0,11200.0,675.0,5443.2373046875,-8525.0,147750.0,-0.05769881556683587,2500.0,1750.0
448,485,87,24,3.623898139079334,9025.0,12100.0,5575.0,9271.914789422135,-975.0,159550.0,-0.0061109370103415855,7500.0,5950.0
500,448,85,36,-5.029013539651837,18175.0,18775.0,9000,13471.760154738879,8175.0,149100.0,0.05482897384305835,17000.0,9100
461,469,97,23,0.7782101167315175,12225.0,14100.0,7650.0,10390.077821011673,2225.0,163200.0,0.01363357843137255,10350.0,8050.0
456,491,78,38,3.41130604288499,12350.0,13425.0,5925.0,8862.865497076024,2350.0,156200.0,0.015044814340588988,8400.0,5800.0
458,483,82,42,2.44140625,11525.0,17075.0,7875.0,12513.720703125,1525.0,158650.0,0.00961235423889064,9600.0,8600.0
445,493,88,37,4.673807205452775,11850.0,13625.0,4675.0,10170.740019474197,1850.0,165650.0,0.011168125565952309,7050.0,6600.0
462,482,77,45,1.9569471624266144,12600.0,12950.0,7650.0,10889.359099804306,2600.0,141700.0,0.01834862385321101,10250.0,8800.0
468,476,79,36,0.78125,12775.0,15525.0,8175.0,11466.40625,2775.0,142900.0,0.01941917424772568,11000.0,9500.0
458,483,82,40,2.44140625,9375.0,14400.0,7225.0,11011.669921875,-625.0,143750.0,-0.004347826086956522,9500.0,7650.0
458,487,84,33,2.815533980582524,16350.0,16550.0,3600.0,9342.378640776698,6350.0,161700.0,0.03927025355596784,8750.0,5300.0
477,455,94,46,-2.142161635832522,19575.0,20750.0,8750.0,15613.534566699123,9575.0,134050.0,0.07142857142857142,14500.0,9400
456,488,82,30,3.11587147030185,14275.0,15725.0,9600.0,12060.66212268744,4275.0,148000.0,0.028885135135135135,8300.0,7200.0
458,487,88,44,2.804642166344294,8625.0,12500.0,7275.0,9708.438104448744,-1375.0,151800.0,-0.009057971014492754,9300.0,8400.0
475,453,98,38,-2.142161635832522,26075.0,26425.0,7075.0,14563.656280428433,16075.0,153350.0,0.10482556243886534,14100.0,7800.0
432,499,99,29,6.498545101842872,7525.0,10775.0,6650.0,8829.243452958293,-2475.0,139400.0,-0.017754662840746054,4750.0,4500.0
449,472,99,34,2.2526934378060726,14275.0,15525.0,4275.0,11199.069539666993,4275.0,152150.0,0.028097272428524483,9400.0,5000.0
449,487,85,40,3.7181996086105675,13350.0,17125.0,9375.0,13545.034246575342,3350.0,171950.0,0.019482407676650187,8200.0,6300.0
456,466,100,35,0.9775171065493646,14100.0,19250.0,9475.0,14476.490713587487,4100.0,159850.0,0.02564904598060682,10750.0,9300.0
462,464,94,37,0.1958863858961802,20150.0,23900.0,9250.0,16325.24485798237,10150.0,139450.0,0.07278594478307637,11650.0,9050.0
